Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Group Area ID,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
LI BRA,,,012 629 718 ,CAMBODIA,,,,,,,,,,,,
SA ART  Soap,,,086 737 894,CAMBODIA,,,,,,,,,,,,
AVATA Coffee Bean,,,010 503 316,CAMBODIA,,,,,,,,,,,,
Soa Heng Iced,,,086 878 874,CAMBODIA,,,,,,,,,,,,
Aircon Repare,,,093 585 566,CAMBODIA,,,,,,,,,,,,
MO MO Fresh Milk,,,0,CAMBODIA,,,,,,,,,,,,
Attwood Corona Ballantine,,,069 754 327 ,CAMBODIA,,,,,,,,,,,,
CAMBODIA BEER,,,086?? 331 907,CAMBODIA,,,,,,,,,,,,
PEANUT Orussey Market,,,012/010 501 856,CAMBODIA,,,,,,,,,,,,
L S H,,,012 267 757,CAMBODIA,,,,,,,,,,,,
BI KIM HEANG,,,098 978 410,CAMBODIA,,,,,,,,,,,,
Takhmao Egg ,,,070 888 298,CAMBODIA,,,,,,,,,,,,
Takhmao Vegetable ,,,010 892 555,CAMBODIA,,,,,,,,,,,,
Takhmao Meat,,,093 709 093,CAMBODIA,,,,,,,,,,,,
Takhmao Fresh Fruit ,,,012 970 452,CAMBODIA,,,,,,,,,,,,
Lucky Super Market,,,012 224 273,CAMBODIA,,,,,,,,,,,,
Lucky Drink,,,086 76 60 25,CAMBODIA,,,,,,,,,,,,
EDC,,,0,CAMBODIA,,,,,,,,,,,,
Cambodia Water Supply,,,0,CAMBODIA,,,,,,,,,,,,
AEON MALL,,,0,CAMBODIA,,,,,,,,,,,,
Alba Soda,,,0,CAMBODIA,,,,,,,,,,,,
KOFI,,,0,CAMBODIA,,,,,,,,,,,,
Takhmao Other ,,,0,CAMBODIA,,,,,,,,,,,,
Phnom Penh Other,,,0,CAMBODIA,,,,,,,,,,,,
