Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Group Area ID,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
TELA MART,តេលា​​ម៉ាត ទូលសង្កែ,,010 338 574 ,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ដង្កោ,,093 23 80 47,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ផ្សាតូច,,010 459 439 ,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ស្តាតចាស់,,093 401 025,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ចំកាម៉ន,,010 285 995,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ទូលទំពូង,,070 402 356,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ទូលគោក,,086 489 292,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត កាំកូ,,087 359 966,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ញ៉ូវថោន,,070 541 550,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត អូឡាំពិក,,086 777 944,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ពោសែនជ័យ,,086 594 883,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត ព្រែកព្នៅ,,086 777 943,PP,PP,,,CAMBODIA,,,,,,,,
TELA MART,តេលា​​ម៉ាត បាក់ខែង,,069 272 090,PP,PP,,,CAMBODIA,,,,,,,,
