Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
BF01,បាយមាន់និទាឃរដូវ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF02,ខគោនិទាឃរដូវ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF03,បបរគ្រឿងសមុទ្រ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF04,បបរសសាច់ជ្រូកចៀន - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF05,បបរសាច់ជ្រូកចិញ្ច្រាំ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF06,បបរសាមចូក - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF07,ការីសាច់មាន់នំបុ័ង - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF08,មីការីសាច់មាន់ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF09,ក្លឹបសេនវិច - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF10,បាយសាច់គោបន្ទះដែក - S,,F01,2,0,3.5,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF11,បាយមាន់ដុតទឹកឃ្មុំ - S,,F01,2,0,3.5,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF12,បាយភ្លៅមាន់ចៀន - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF13,ភ្លៅមាន់ចៀន - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF14,បាយភ្លៅមាន់ស្ងោ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF15,ភ្លៅមាន់ស្ងោ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
BF16,មីប៉ក់ - S,,F01,2,0,4,0, No Tax, exclusive,FB,,,,,,,,,,,,,no_image.png,standard
