Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
FA01,ឆាស្ប៉ាកាទីផាក់គីម៉ៅ - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA02,ភីហ្សាពោតគ្រឿងសមុត្រ - S,,F01,2,0,6,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA03,ភីហ្សាពោតតុំយ៉ាំគ្រឿងសមុត្រ - S,,F01,2,0,6,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA04,មីឆាសាច់ជ្រូក - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA05,មីឆាសាច់មាន់ - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA06,មីឆាគ្រឿងសមុត្រ - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA07,មីឆាសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA08,ក្លឹបសេនវិច - S,,F01,2,0,3.5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA09,ចាខ្វៃពិសេស - S,,F01,2,0,3.5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA10,ផាតថៃ - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA11,បុកល្ហុងបែបថៃ - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA12,ដំឡូងបំពង - S,,F01,2,0,3,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
FA13,ឆាស្ប៉ាកាទីកាបូណារ៉ា - S,,F01,2,0,5,0, No Tax, exclusive,FA,,,,,,,,,,,,,no_image.png,standard
