Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
FD01,ញាំមីសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD02,ញាំមីសាច់ជ្រូក - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD03,ញាំមីស៊ួគ្រឿងសមុត្រ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD04,ញាំនំបញ្ចុកបំពងគ្រៀងសមុទ្រ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD05,ញាំមីគ្រឿងសមុត្រ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD06,យ៉ាំសាផូកៃ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD07,ខាត់ណាទឹកភ្នែក - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD08,ងាវសុសកូរ៉េ - S,,F01,2,0,6,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD09,បុកបង្គា - S,,F01,2,0,6,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD10,ឡាបសាច់មាន់ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD11,ឡាបសាច់ជ្រូក - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD12,ឡាបសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD13,ភ្លាសាច់គោនំបញ្ចុកបំពង - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD14,ភ្លាសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD15,បង្គាឆាសាំបា - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD16,ងាវឆាអំពិលទុំ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD17,មាន់ឆាអំពិលទុំ - S,,F01,2,0,5,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD18,ស្លាបមាន់បំពងបែបថៃ - S,,F01,2,0,4,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
FD19,ងាវ​ បង្គា ផ្សិត ក្រឡុក - S,,F01,2,0,6,0, No Tax, exclusive,FD,,,,,,,,,,,,,no_image.png,standard
