Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
FL01,ប្រហុកខ្ទិះ - S,,F01,2,0,4,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL02,ផ្អកចំហុយ - S,,F01,2,0,4,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL03,ផ្អកចៀន - S,,F01,2,0,4,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL04,ពងចំហុយត្រីប្រម៉ា - S,,F01,2,0,4,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL05,ពងចៀនត្រីប្រម៉ា - S,,F01,2,0,4,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL06,ត្រីកេះចៀនស្វាយខ្ជី - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL07,ត្រីកេះចៀនជួន - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL08,ជើងជ្រូកបំពងពិសេស - S,,F01,2,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL09,ត្រីបំពងពិសេស - S,,F01,2,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL10,បង្គាបំពងម្សៅ - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL11,ឆាបង្គាគ្រាប់ស្វាយចន្ទី - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL12,បង្គាស្រុះទឹកត្រីកោះកុង - S,,F01,2,0,6,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL13,បង្គាឆាជូអែម - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL14,ឆ្អឹងជំនីជូអែម - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL15,ឆ្អឹងជំនីបំពងខ្ទឹមស - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL16,ស្ពៃចង្កិះឆាប្រេងខ្យង - S,,F01,2,0,4,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL17,ស្ពៃចង្កិះឆាសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL18,ស្ពៃតឿឆាសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL19,ឆាផ្សិតចម្រុះប្រេងខ្យង - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL20,ឆាផ្សិតចម្រុះសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL21,ឆាផ្សិតសាច់គោ - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL22,ស្ពៃតឿឆាផ្សិតចំបើង - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL23,ឆាស្ពៃតឿផ្សិតខ្មៅ - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL24,មួយឆ្នាំងក្នុងចិត្ត - S,,F01,2,0,5,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FL25,ឆាបន្លែគ្រប់មុខ - S,,F01,2,0,4,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
