Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
FLB01,ប្រហុកខ្ទិះ - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB02,ផ្អកចំហុយ - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB03,ផ្អកចៀន - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB04,ពងចំហុយត្រីប្រម៉ា - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB05,ពងចៀនត្រីប្រម៉ា - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB06,ត្រីកេះចៀនស្វាយខ្ជី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB07,ត្រីកេះចៀនជួន - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB08,ជើងជ្រូកបំពងពិសេស - B,,F01,4,0,24,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB09,ត្រីបំពងពិសេស - B,,F01,4,0,24,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB10,បង្គាបំពងម្សៅ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB11,ឆាបង្គាគ្រាប់ស្វាយចន្ទី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB12,បង្គាស្រុះទឹកត្រីកោះកុង - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB13,បង្គាឆាជូអែម - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB14,ឆ្អឹងជំនីជូអែម - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB15,ឆ្អឹងជំនីបំពងខ្ទឹមស - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB16,ស្ពៃចង្កិះឆាប្រេងខ្យង - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB17,ស្ពៃចង្កិះឆាសាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB18,ស្ពៃតឿឆាសាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB19,ឆាផ្សិតចម្រុះប្រេងខ្យង - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB20,ឆាផ្សិតចម្រុះសាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB21,ឆាផ្សិតសាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB22,ស្ពៃតឿឆាផ្សិតចំបើង - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB23,ឆាស្ពៃតឿផ្សិតខ្មៅ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB24,មួយឆ្នាំងក្នុងចិត្ត - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB25,ឆាបន្លែគ្រប់មុខ - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB26,ឆាផ្កាខាត់ណាបង្គា - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB27,ឆាដើមខាត់ណាសាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB28,ដើមខាត់ណាឆាប្រេងខ្យង - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB29,ទៅហើយមកវិញ - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB30,សាច់ជ្រូកឆាខ្ញី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB31,សាច់គោឆាខ្ញី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB32,មាន់ឆាខ្ញី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB33,កង្កែបឆាខ្ញី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB34,ឆាត្របឆ្នាំងដី - B,,F01,4,0,8,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB35,ផាត់កាផៅសាច់មាន់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB36,ផាត់កាផៅសាច់គោចិញ្ច្រាំ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB37,ផាត់កាផៅសាច់ជ្រូកចិញ្ច្រាំ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB38,ផាត់កាផៅសាច់ជ្រូកបីជាន់បំពង - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB39,ម្ជួរគ្រឿងឆ្អឹងជំនីជ្រូក - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB40,ម្ជួគ្រឿងសាច់មាន់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB41,ម្ជួរគ្រឿងសាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB42,ម្ជួរពងត្រី ត្រីពោ - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB43,ម្ជូរពងត្រីស្លឹកអំពិល - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB44,ម្ជូរល្ហុងពងត្រី - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB45,ម្ជួរល្ហុងកូនត្រី - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB46,ម្ជួរត្រកួនត្រី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB47,ម្ជូរខ្ទិះស្អំ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB48,ម្ជួរយូនត្រីពោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB49,ម្ជួរយូនត្រីរស់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB50,ម្ជួរយូនឆ្អឹងជំនី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB51,ម្ជួរយូនសាច់មាន់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB52,កកូរសាច់មាន់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB53,កកូរឆ្អឹងជំនី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB54,កកូរសាច់បីជាន់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB55,កកូរសាច់បីជាន់ ត្រី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB56,កកូរកង្កែប - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB57,តុំយ៉ាំសាច់មាន់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB58,តុំយ៉ាំសាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB59,តុំយ៉ាំគ្រឿងសាច់គោលាយគ្រឿងសមុទ្រ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB60,តុំយ៉ាំគ្រឿងសមុត្រ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB61,តុំខាកៃ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB62,ស្ងោជ្រក់ក្រៅឆ្នាំង - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB63,ស្ងោជ្រក់សាច់មាន់ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB64,ស្ងោជ្រក់ត្រី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB65,ស្ងោជ្រក់សាច់គោ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB66,ការីខៀវ - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB67,ការីក្រហម - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB68,ខទីវសាច់បីជាន់លាយត្រី - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB69,ខទីវសាច់ជ្រូកបែបចិន - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB70,ខទីវសាច់ជ្រូក - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB71,ខទីវកង្កែប - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB72,ខទីវត្រីរ៉ស - B,,F01,4,0,10,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB73,បបរសខកង្កែប - B,,F01,4,0,12,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
FLB74,បបរស - B,,F01,4,0,3,0, No Tax, exclusive,FL,,,,,,,,,,,,,no_image.png,standard
