Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
SY01,Blue Curacao Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
SY02,Caramel Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
SY03,Vanilla Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
SY04,Irish Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
SY05,Guava Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
SY06,Pample Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
SY07,Coconut Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
SY08,Toffee Nut Syrup,,RWD01,1,0,0,0, No Tax, exclusive,SYRUP,,,,,,,,,,,,,no_image.png,standard
PU01,Passion Puree,,RWD01,1,0,0,0, No Tax, exclusive,PUREE,,,,,,,,,,,,,no_image.png,standard
PU02,Banana Puree,,RWD01,1,0,0,0, No Tax, exclusive,PUREE,,,,,,,,,,,,,no_image.png,standard
PU03,Kiwi Puree,,RWD01,1,0,0,0, No Tax, exclusive,PUREE,,,,,,,,,,,,,no_image.png,standard
PU04,Blueberry Puree,,RWD01,1,0,0,0, No Tax, exclusive,PUREE,,,,,,,,,,,,,no_image.png,standard
PU05,Strawberry Puree,,RWD01,1,0,0,0, No Tax, exclusive,PUREE,,,,,,,,,,,,,no_image.png,standard
PU06,Raspherry Puree,,RWD01,1,0,0,0, No Tax, exclusive,PUREE,,,,,,,,,,,,,no_image.png,standard
PU07,Honey Puree,,RWD01,1,0,0,0, No Tax, exclusive,PUREE,,,,,,,,,,,,,no_image.png,standard
PO01,Green Tea Powder,,RWD01,1,0,0,0, No Tax, exclusive,POWDER,,,,,,,,,,,,,no_image.png,standard
