Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
VG01,ប៉េងប៉ោះខ្ចី,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG02,ប៉េងប៉ោះទុំ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG03,កូនប៉េងប៉ោះ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG04,ត្រសក់,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG05,ការ៉ុត,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG06,ម្នាស់,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG07,ស្ពៃក្ដោប,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG08,ស្ពៃបូកគោ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG09,ស្ពៃចង្កិះ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG10,ស្ពៃតឿ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG11,ស្ពៃជូ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG12,ស្ពៃក្ដោបស្វាយ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG13,ស្ពៃខ្មៅ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG14,ខ្ទឹមស,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG15,ខ្ទឹមក្រហម,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG16,ខ្ទឹមខ្យល់,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG17,ខ្ទឹមសជ្រក់,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG18,គល់ខ្ទឹមជ្រក់,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG19,ស្លឹកខ្ទឹម,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG20,ខ្ទឹមបារាំង,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG21,ល្មៀតស្រស់,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG22,ខ្ញីដុំ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG23,ខ្ញីហាន់,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG24,រំដេង,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG25,រំដេងខ្ចី,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG26,សណ្ដែកបណ្ដុះ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG27,សណ្ដែកបារាំង,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG28,សណ្ដែកគួ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG29,សណ្តែកហោឡាំងតាវ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG30,ផ្កាខាត់ណាស,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG31,ផ្កាខាត់ណាខៀវ,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
VG32,ផ្កាខាត់ណាចិន,,FRW01,1,0,0,0, No Tax, exclusive,បន្លែ,,,,,,,,,,,,,no_image.png,standard
