Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
MS01,បង្គាសំបកក្រាស់,,FRW01,1,0,0,0, No Tax, exclusive,បង្គា,,,,,,,,,,,,,no_image.png,standard
MS02,បង្គាក្រឡា តូច,,FRW01,1,0,0,0, No Tax, exclusive,បង្គា,,,,,,,,,,,,,no_image.png,standard
MS03,បង្គាក្រឡា ធំ,,FRW01,1,0,0,0, No Tax, exclusive,បង្គា,,,,,,,,,,,,,no_image.png,standard
MS04,បង្គា​ ស,,FRW01,1,0,0,0, No Tax, exclusive,បង្គា,,,,,,,,,,,,,no_image.png,standard
MS05,បង្គាក្រៀមធំ,,FRW01,1,0,0,0, No Tax, exclusive,បង្គា,,,,,,,,,,,,,no_image.png,standard
MS06,បង្គាក្រៀមតូច,,FRW01,1,0,0,0, No Tax, exclusive,បង្គា,,,,,,,,,,,,,no_image.png,standard
MS07,កាពិ,,FRW01,1,0,0,0, No Tax, exclusive,បង្គា,,,,,,,,,,,,,no_image.png,standard
ML01,បង្កងតូច,,FRW01,1,0,0,0, No Tax, exclusive,បង្កង,,,,,,,,,,,,,no_image.png,standard
ML02,បង្កងកណ្តាល,,FRW01,1,0,0,0, No Tax, exclusive,បង្កង,,,,,,,,,,,,,no_image.png,standard
ML03,បង្កងធំ,,FRW01,1,0,0,0, No Tax, exclusive,បង្កង,,,,,,,,,,,,,no_image.png,standard
ML04,បង្កងប៉ាក,,FRW01,1,0,0,0, No Tax, exclusive,បង្កង,,,,,,,,,,,,,no_image.png,standard
MO01,មឹកធំ,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO02,មឹកតូច,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO03,មឹកបំពង់,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO04,មឹកពីងពាង,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO05,លៀសសមុទ្រ,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO06,ងៀវតូច,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO07,ងៀវធំ,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO08,គ្រុំ,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO09,យីហ៊ឺក្រៀម,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO10,ខ្យងសមុទ្រស្រស់,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MO11,អយស្ទ័រ,,FRW01,1,0,0,0, No Tax, exclusive,មឹក,,,,,,,,,,,,,no_image.png,standard
MF01,ត្រីកេះ,,FRW01,1,0,0,0, No Tax, exclusive,ត្រី,,,,,,,,,,,,,no_image.png,standard
MF02,ត្រីឆ្អើរ,,FRW01,1,0,0,0, No Tax, exclusive,ត្រី,,,,,,,,,,,,,no_image.png,standard
MF03,ត្រីប្រហើម,,FRW01,1,0,0,0, No Tax, exclusive,ត្រី,,,,,,,,,,,,,no_image.png,standard
MF04,ត្រីសាម៉ុង,,FRW01,1,0,0,0, No Tax, exclusive,ត្រី,,,,,,,,,,,,,no_image.png,standard
MF05,ព្រុយត្រីសាម៉ុង,,FRW01,1,0,0,0, No Tax, exclusive,ត្រី,,,,,,,,,,,,,no_image.png,standard
