Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
HO01,Irish Coffee Hot,,D01,1,0,4,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
HO02,Espresso Hot,,D01,1,0,1.25,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
HO03,Americano Hot,,D01,1,0,1.5,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
HO04,Condensed Milk Caffee Hot,,D01,1,0,1.5,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
HO05,Latte Hot,,D01,1,0,2.25,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
HO06,Cappucino Hot,,D01,1,0,2.25,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
HO07,Spring Elite Chocolate Hot,,D01,1,0,2.5,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
HO08,Spring Elite Caramel Hot,,D01,1,0,2.5,0, No Tax, exclusive,HO,,,,,,,,,,,,,no_image.png,standard
CO01,Iced Americano - S,,D01,2,0,1.75,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO02,Iced Americano  - B,,D01,4,0,2,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO03,Iced Condensed milk Coffee  - S,,D01,2,0,1.75,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO04,Iced Condensed Milk Coffee  - B,,D01,4,0,2,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO05,Iced Latte  - S,,D01,2,0,2.25,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO06,Iced Latte  - B,,D01,4,0,2.75,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO07,Iced Cappucino  - S,,D01,2,0,2.25,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO08,Iced Cappucino  - B,,D01,4,0,2.75,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO09,Iced Mocha  - S,,D01,2,0,2.5,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO10,Iced Mocha  - B,,D01,4,0,2.95,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO11,Iced Spring Elite Chocolate  - S,,D01,2,0,2.5,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO12,Iced Spring Elite Chocolate  - B,,D01,4,0,2.95,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO13,Iced Spring Elite Caramel  - S,,D01,2,0,2.5,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
CO14,Iced Spring Elite Caramel  - B,,D01,4,0,2.95,0, No Tax, exclusive,CO,,,,,,,,,,,,,no_image.png,standard
SM01,Apple Smootheis  - S,,D01,2,0,2.5,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM02,Apple Smootheis - B,,D01,4,0,3,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM03,Avocado Smootheis  - S,,D01,2,0,2.5,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM04,Avocado Smootheis  - B,,D01,4,0,3,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM05,Banana Smootheis  - S,,D01,2,0,2.5,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM06,Banana Smootheis  - B,,D01,4,0,3,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM07,Blueberry Smootheis  - S,,D01,2,0,2.5,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM08,Blueberry Smootheis  - B,,D01,4,0,3,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
SM09,Carrot Smootheis  - S,,D01,2,0,2.5,0, No Tax, exclusive,SM,,,,,,,,,,,,,no_image.png,standard
